,Datetime,Text,Username,UserLocation,ReplyCount,LikeCount,RetweetCount
38,2022-02-22 06:13:58+00:00,Update: Major Deegan Expressway has reopened at East 138th Street in The Bronx. Expect residual delays. Multilingual &amp; ASL Link: https://t.co/HuA8o4rqF7.,NotifyNYC,New York City,0,3,0
39,2022-02-22 06:03:11+00:00,It's logically inconsistent to be pro-green energy and anti-construction. Yet that's where the environmentalist movement seems to have landed in the U.S.  https://t.co/K1Lbqmoous,NRO,New York,3,14,2
40,2022-02-22 06:00:12+00:00,"@chaoticsequence @Gothamist It is not that way anymore. The younger recruits are heavily Latino, Black (many Caribbean, including several fellow parents), and Chinese. Traffic cops are becoming very south Asian and African. It is a very immigrant NYPD I see around me. Whiteshirts are heavily white, but old.",grammarflic,"New York, USA",0,1,0
41,2022-02-22 05:55:22+00:00,"@Sunny_D_1083 @daralebrun @Rivergothic @BudgetBen DummyD, glad you’re healthy but that isn’t how proofs work. You haven’t died in a car crash...so that means you don’t need seatbelts, you haven’t died from heroin so it must be safe? You don’t base a statistic on a population of 1.",theGuyInNewYork,New York City,0,0,0
42,2022-02-22 05:49:54+00:00,@Tochinoshin33 Cool.  Took me a moment to figure out construction...,ShepardWill,"New York, USA",0,0,0
43,2022-02-22 05:49:49+00:00,Vehicle Fire: Southbound Major Deegan Expressway closed at East 138th Street in The Bronx. Consider alt routes. Multilingual &amp; ASL Link: https://t.co/GpdlTK7FPB.,NotifyNYC,New York City,0,3,0
44,2022-02-22 05:47:38+00:00,@bittergertrude It's a car accident.  Just not a collision.,LeMagicalBanana,"New York, NY",0,1,0
45,2022-02-22 05:46:10+00:00,Car Accidents Compilation #FirstAid #Lifesaver https://t.co/8ccbd49Z5O,724accidents,"New York, US",0,0,0
46,2022-02-22 05:45:33+00:00,"yo there's a traffic accident, i have to mention, at the intersection of tenth ave and the jacob javitz convention center. and check it, don’t get stuck in the rubber-neckin’, on 192nd, there’s a double-decker bus wreck",INTHEHElGHTSBOT,nueva york,0,0,0
47,2022-02-22 05:45:00+00:00,Updated: Construction on #M55Bus at W 44 St/6 Av https://t.co/cWfBksiOvv,511NY,New York State,0,0,0
48,2022-02-22 05:42:22+00:00,"This excellent traffic programme is the main difference between success or simply lack of success, option is finally here https://t.co/klLnCKDVH5 https://t.co/LpxPMEZ4xn",TheWealthZone,"New York, NY",0,0,0
49,2022-02-22 05:30:43+00:00,"Closed due to fd activity in #TheBronx:OnTheDeeganExpressway on I-87 (Deegan) SB between 149th St/X4 and 138th St/Grand Concourse/3rd Ave/X3, stopped traffic back to Yankee Stadium/Macombs Dam BR/x5 #traffic https://t.co/cLJ9IKsg5n",TotalTrafficNYC,New York City & New Jersey,0,0,0
50,2022-02-22 05:18:53+00:00,@G94P67 @PoorlyAgedStuff Seems like she’s just a traffic cop but still disappointing. I like  @dilfosaur interpretation better https://t.co/s2zRHgh1so,bdzbcomics,"New York, NY",0,45,0
51,2022-02-22 05:18:28+00:00,"German Luggage is the Best for Kids

https://t.co/tidvj2W9OZ

It's never too early to start packing for your family vacation. And when it comes to kids' luggage, Germany has some of the best options in Europe. From bright and colorful designs to sturdy construction. https://t.co/fnFUmWlcSO",skyewhitee2,"New York, USA",0,3,0
52,2022-02-22 05:06:50+00:00,#NetworkMarketingBlog Clone this type of effective traffic generation ways to attain boundless sales opportunities to consistently contact with regards to any business opportunity https://t.co/8OI9DJqVZq https://t.co/AGmHBCCOMq,TheWealthZone,"New York, NY",0,0,0
53,2022-02-22 05:04:49+00:00,@DeePhunk Saying any old thing for traffic is at an all-time high,jsmooth995,"New York, NY",0,12,0
54,2022-02-22 04:59:28+00:00,"Zoe Sozo Bethel, Miss Alabama 2021 Dies After Suffering Head Injury in Car Accident - https://t.co/hOFJXmtFcq",Lunchbox33,"Manhattan, NY",0,0,0
55,2022-02-22 04:53:57+00:00,Construction on #QueensMidtownTunnel EB from Manhattan Side to Queens Side https://t.co/PXNOl2Hg9D,511NY,New York State,0,0,0
56,2022-02-22 04:53:00+00:00,Construction on #QueensMidtownTunnel WB from Queens Side to Manhattan Side https://t.co/Skarz8V8MJ,511NY,New York State,0,0,0
57,2022-02-22 04:47:53+00:00,"@GovKathyHochul @NYSERDA @Doreen_M_Harris April 22, 2021

Governor Andrew M. Cuomo today announced that more than 20 large-scale renewable energy infrastructure projects would be under construction across the state this year, including the first utility-scale solar project in Upstate New York.
Thanks, Governor Cuomo.",riverarra1,New York,0,0,0
58,2022-02-22 04:43:10+00:00,Construction on #NLine NB from Jay St - MetroTech to City Hall https://t.co/YLrcCYqxnb,511NY,New York State,0,0,0
